"Chat ID","Name","Contact Info","IP","Browser","Operating System","User Agent","Referrer","Widget","Department","Answerer","Timestamp","Wait Time (seconds)","Duration (seconds)","Screensharing","Rating (0-4)","Comment","User Field 1","User Field 2","User Field 3","Initial Question","Transfer History","Message Count","Internal Note","Transcript","Tags","Ticket ID","RA Transaction IDs"
"11527278","Patron","","134.53.243.104","Chrome (131.0.0.0)","Macintosh","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","https://www.lib.miamioh.edu/",".Slide-out (Proactive live)","Reference","Barry Zaslow","2025-01-02 09:10:41","8","143","None","0","","Are you student/faculty/staff?: Student","","","Hi I was wondering if you have Discovering Human Sexuality (6th Edition), LeVay, Baldwin, Baldwin","","4","","09:13:17 - Barry Zaslow : Hi Kayla. You had disappeared so I'm glad to see you've returned. We do not own this title at Miami and the latest edition in OhioLINK appears to be the fourth edition from 2018/2019. At least one copy of that seems to be available. Does this help at all?
09:13:36 - Patron : Sadly I need the sixth for class. Just cant afford it at the moment, Thank you though
09:15:03 - Barry Zaslow : You might contact Laura Birkenhauer at the libraries who runs a program to help people finance textbooks. I'm not sure she's here today but her e-mail is crosbylm@miamioh.edu. She's very kind and works to assist many students.
09:15:40 - Patron : Thank you so much
","","0","52186041"
"11527402","Patron","","134.53.234.137","Chrome (131.0.0.0)","Windows","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","https://www.lib.miamioh.edu/",".Slide-out (Proactive live)","Reference","Barry Zaslow","2025-01-02 10:00:36","18","15","None","0","","Are you student/faculty/staff?: staff","","","There is a faculty member down here who needs help navigating a website to get the metrics for her published articles - is there anyone in the building who can come down and help?","","2","","10:01:50 - Barry Zaslow : Alyssa--I can come down although I'm not sure how much help I'll be. Not an area I've much knowledge of. Be right there, though.
10:02:05 - Patron : Thanks!!
","","0","52187082"
"11528440","Patron","","208.102.106.138","Chrome (131.0.0.0)","Macintosh","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","https://www.lib.miamioh.edu/",".Slide-out (Proactive live)","Reference","Laura Birkenhauer","2025-01-02 13:35:42","6","477","None","0","","Are you student/faculty/staff?: faculty","","","The library's website says you have online access to a book I need, but the link sends me to a different book.
The book I'd like is ""Handbook of Automated Essay Evaluation""
Here is the page with the link:
https://resolver-ebscohost-com.proxy.lib.miamioh.edu/openurl?sid=EBSCO%3apsyh&amp;genre=book&amp;issn=&amp;ISBN=9781848729957&amp;volume=&amp;issue=&amp;date=&amp;spage=313&amp;pages=313-346&amp;title=Handbook+of+automated+essay+evaluation%3a+Current+applications+and+new+directions.&amp;atitle=Contrasting+state-of-the-art+automated+scoring+of+essays.&amp;aulast=Shermis%2c+Mark+D.&amp;id=DOI%3a&amp;site=ftf-live","","15","","13:35:57 - Laura Birkenhauer : Hello! One moment while I look into this. 
13:36:00 - Patron : Thanks!
13:37:11 - Laura Birkenhauer : Does this link get you to the correct book? <a href=""https://www.taylorfrancis.com/books/edit/10.4324/9780203122761/handbook-automated-essay-evaluation-mark-shermis-jill-burstein?context=ubx&amp;refId=d9e00b47-c5ab-4073-acaa-a22e64894ad5"" target=""_blank"">https://www.taylorfrancis.com/books/edit/10.4324/9780203122761/handbook-automated-essay-evaluation-mark-shermis-jill-burstein?context=ubx&amp;refId=d9e00b47-c5ab-4073-acaa-a22e64894ad5</a>
13:37:35 - Laura Birkenhauer : What I did was search for the correct title at the top of the page, from the link you sent me
13:37:40 - Laura Birkenhauer : And that was the first result
13:37:49 - Laura Birkenhauer : I will report the link error!
13:38:25 - Patron : The link you sent is locked...
13:38:49 - Laura Birkenhauer : Let me try something else
13:39:15 - Patron : Thanks! It's a Taylor and Francis link that Miami doesn't have institutional access to
13:39:31 - Patron : But it looks from the library search engine like you should have access to an ebook
13:41:14 - Patron : sorry, I went off line for a minute!
13:41:20 - Patron : I'm back
13:43:09 - Laura Birkenhauer : From the original link you sent, can you try clicking on the link under ""Get Full Text Online"" (which I know gets you to the wrong book) and then using the search bar at the top of the page to search for the title of the book you need? 
13:43:38 - Laura Birkenhauer : That's what's worked for me, and I'm unable on my end to find a correct permalink for accessing it that I can send you
13:43:54 - Laura Birkenhauer : Another option appears to be that I can download the PDF and I can send that to your Miami email
","","0","52191311"
"11528526","Patron","longial@miamioh.edu","134.53.232.177","Chrome (131.0.0.0)","Windows","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","https://www.lib.miamioh.edu/",".Slide-out (Proactive live)","Reference","Laura Birkenhauer","2025-01-02 13:50:13","5","437","None","4","","Are you student/faculty/staff?: staff","","","My NY Times subscription appears to have lapsed on 12/31/24.  Do you know how I can reactive it?","","8","","13:50:29 - Laura Birkenhauer : Hello! Yes, one moment while I retrieve the instructions.
13:50:40 - Patron : Thaiks Laura.
13:51:39 - Laura Birkenhauer : Here are the instructions! You can also find them anytime from our list of databases, at <a href=""https://libguides.lib.miamioh.edu/az/databases"" target=""_blank"">https://libguides.lib.miamioh.edu/az/databases</a>. Go to <a href=""https://proxy.lib.miamioh.edu/login?url=https://ezmyaccount.nytimes.com/grouppass/redir"">nytimes.com/grouppass</a>. Create a NYTimes.com account using your university e-mail address. You may need to be on campus when renewing your account.
13:53:12 - Laura Birkenhauer : The reason you may need to be on campus is because the NYT says you must be connected to the network of your participating organization when reactivating your account. (We've heard from some users that you don't need to be on campus, though, so may be worth a try even if you aren't!)
13:54:20 - Patron : Thanks for the instructions. I am on campus and will go through the subscription process now.  I will let you know if I have any issues.  Thanks again.
13:55:46 - Laura Birkenhauer : You're very welcome!
13:57:27 - Patron : Success!  Thank you.
13:57:46 - Laura Birkenhauer : Great to hear! You're quite welcome. Have a great day and thanks for using the NYT subscription! 
","","0","52191620"
"11529450","Patron","","72.49.133.13","Chrome (131.0.0.0)","Macintosh","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","https://www.lib.miamioh.edu/about/organization/contact-us/",".Slide-out (Proactive live)","Reference","Laura Birkenhauer","2025-01-02 16:37:37","4","493","None","4","helpful and quick! Excellent work!","Are you student/faculty/staff?: fac","","","I need to put this book on two-hour reserve at the three Ohio campus libraries of Miami, especially the Hamilton Campus. I'm teaching an online Sprint (U-term) course on the Hamilton campus, March 31-May 16. Careful: the book is available in the 8th edition but the edition approved for the online, remote course is the 6th edition: Susan M. Shaw and Janet Lee, Women's voices, feminist visions (6th ed).  Sorry I don't have the ISBN number.","","19","","16:37:55 - Patron : And a big THANK YOU for your kind help!
16:38:19 - Laura Birkenhauer : Hello! I'll put you in touch with the contacts for our reserves. And thank you for placing these books on reserve!
16:38:44 - Patron : Whew! I appreciate you helping me get the ball rolling!
16:39:49 - Laura Birkenhauer : For the Oxford campus, you'll follow the instructions under ""How to Place Materials on Reserve"" on this page: <a href=""https://libguides.lib.miamioh.edu/reserves-textbooks"" target=""_blank"">https://libguides.lib.miamioh.edu/reserves-textbooks</a>
16:40:00 - Laura Birkenhauer : Let me look into more info about Hamilton and Middletown, one moment!
16:42:57 - Laura Birkenhauer : Hmm, I'm trying to contact the other libraries via chat now, but not getting anyone. I'm not sure anyone is staffing right now. Because Hamilton and Middletown library systems are a bit smaller in terms of number of staff, you could contact any of the individuals listed here <a href=""https://www.lib.miamioh.edu/about/organization/staff/"" target=""_blank"">https://www.lib.miamioh.edu/about/organization/staff/</a>
16:43:16 - Laura Birkenhauer : You can select ""Middletown"" and/or ""Hamilton"" under ""Select by Library"" and you'll see a list of library staff!
16:43:23 - Laura Birkenhauer : I
16:43:36 - Laura Birkenhauer : I'd recommend reaching out to Krista McDonald at Hamilton mcdonak@miamioh.edu
16:43:52 - Laura Birkenhauer : And John Burke at Middletown burkejj@miamioh.edu
16:44:00 - Laura Birkenhauer : I hope this helps get the process started for you!
16:44:02 - Patron : got it. Thanks!
16:44:07 - Laura Birkenhauer : You're very welcome!
16:44:47 - Patron : Do you have the call number for this book?
16:44:56 - Laura Birkenhauer : Let me check on that!
16:45:35 - Patron : I can search it. I was hoping you might have it handy!
16:45:36 - Laura Birkenhauer : The 6th edition is 

HQ1180 .W689 2014
16:45:55 - Patron : WOW! You're a gem!  THANK YOU!!!
16:46:08 - Laura Birkenhauer : Happy to help! 😀
","","0","52195381"
"11530209","Patron","","90.211.199.252","Edge (131.0.0.0)","Windows","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0","https://libguides.lib.miamioh.edu/citation/apa_electronic-examples#s-lg-box-wrapper-26877008",".Slide-out (Proactive live)","Reference","Nate Floyd","2025-01-03 09:20:13","30","291","None","4","","","","","DO YOU USE BLUE INK OR CHANGE IT TO BLACK","","12","","09:21:08 - Nate Floyd : Hello. Do you mean with respect to printing? 
09:22:14 - Patron : No i am asking whether the reference list web site page should be blue or change it to black
09:22:44 - Patron : i am doing APA 7th referencing
09:23:27 - Patron : the htpp turns blue and not sure if i should change this to black
09:24:15 - Nate Floyd : I think if the document is going to be read in the printed form, I would use black. If it's going to be in a digital format, I would use blue. 
09:24:49 - Nate Floyd : The blue is meant to highlight that the link is a live hyperlink. That would be irrelevant in a printed format. But in a digital format, we would want the reader to know they links are live 
09:25:00 - Nate Floyd : I dont think it matters either way, but that's how I would handle it 
09:25:14 - Patron : i send my document via the submission portal to the examiner
09:25:23 - Nate Floyd : Ok, that's digital. I would use blue 
09:25:45 - Patron : thank you for your time
09:25:51 - Nate Floyd : Good luck w your work! 
09:25:59 - Patron : thank you
","","0","52198396"
"11530457","Patron","","76.39.209.13","Chrome (131.0.0.0)","Macintosh","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","https://www.lib.miamioh.edu/",".Slide-out (Proactive live)","Reference","Nate Floyd","2025-01-03 10:48:01","4","93","None","0","","Are you student/faculty/staff?: student","","","Can you help me find this full PDF - https://pubmed.ncbi.nlm.nih.gov/32439109/","","4","","10:48:11 - Nate Floyd : Hello, one second...
10:49:13 - Nate Floyd : Looks like we don't have access to this article, but you can request it via interlibrary loan.
10:49:17 - Nate Floyd : You can do that here: <a href=""https://ill.lib.miamioh.edu/illiad/logon.html"" target=""_blank"">https://ill.lib.miamioh.edu/illiad/logon.html</a>
10:49:44 - Nate Floyd : Just login with your Miami credentials, fill out the required parts of the form, and follow the prompts 
","","0","52199582"
"11530890","Patron","","75.187.68.46","Chrome (131.0.0.0)","Macintosh","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","https://libguides.lib.miamioh.edu/imc",".Slide-out (Proactive live)","Reference","Andy Revelle","2025-01-03 12:26:09","6","336","None","4","","Are you student/faculty/staff?: Retired faculty","","","I have numerous microfilm rolls of long-ago research, and would like to digitize them and/or recycle/donate/get rid of them. Does King offer any possibilities? Thanks.","","7","","12:26:31 - Andy Revelle : Let me see what I can find
12:27:01 - Patron : Thanks, Andy.
12:28:39 - Andy Revelle : I would contact Mark Dahlquist. HIs e-mail is dahlqmj@miamioh.edu
12:29:09 - Patron : Shall do. What is his position in the Library?
12:30:08 - Andy Revelle : He is English Librarian, but he does a lot with digital scholarship so he may know what resources we have. 
12:32:00 - Patron : Thank you!
12:32:07 - Andy Revelle : no problem
","","0","52201198"
"11531942","Patron","","134.53.234.137","Chrome (131.0.0.0)","Windows","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","https://www.lib.miamioh.edu/",".Slide-out (Proactive live)","Reference","Jenny Presnell","2025-01-03 15:51:53","7","52","None","0","","","","","I have a patron on the phone who is having trouble accessing their NYT subscription.  Alea recommended that they speak with a reference librarian.  Can you help?","","6","","15:52:02 - Jenny Presnell : hi
15:52:10 - Jenny Presnell : yes
15:52:19 - Jenny Presnell : transfer
15:52:26 - Jenny Presnell : to 93937
15:52:46 - Patron : Hi Jenny, the patron is Mark Bernheim, and I will transfer them to you.  Thanks
15:52:54 - Jenny Presnell : thanks
","","0",""
"11536152","Patron","","216.196.186.30","Edge (131.0.0.0)","Windows","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0","https://www.lib.miamioh.edu/research/research-support/ask/","Ask Us page chat","Reference","Ginny Boehme","2025-01-06 14:06:12","6","255","None","0","","","","","Hi! I'm trying to find a paper titled ""Patterns of livestock depredation by snow leopards and effects of intervention strategies: lessons from the Nepalese Himalaya"" with the DOI https://doi.org/10.1071/WR21169. However, I'm not able to find it in the library. Any advice on how to access it?","","5","","14:06:33 - Ginny Boehme : Hi there, let me see what I can find about this, please hold
14:09:44 - Ginny Boehme : Your finding is correct, this is not one we have immediate access to. However, you can submit an Interlibrary Loan request for it which should allow you to get access within a few days. The yellow Find It button on the left side of this page will give you a link where you can submit the request: <a href=""https://proxy.lib.miamioh.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&amp;db=agr&amp;AN=IND608022428&amp;site=eds-live&amp;scope=site"" target=""_blank"">https://proxy.lib.miamioh.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&amp;db=agr&amp;AN=IND608022428&amp;site=eds-live&amp;scope=site</a>
14:10:03 - Ginny Boehme : And this video will give you more info about the service and request process: <a href=""https://youtu.be/EuUJmrcWb24"" target=""_blank"">https://youtu.be/EuUJmrcWb24</a>
14:10:28 - Patron : ok, thank you!
14:10:48 - Ginny Boehme : You're welcome!
","","0","52220529"
