"Chat ID","Name","Contact Info","IP","Browser","Operating System","User Agent","Referrer","Widget","Department","Answerer","Timestamp","Wait Time (seconds)","Duration (seconds)","Screensharing","Rating (0-4)","Comment","User Field 1","User Field 2","User Field 3","Initial Question","Transfer History","Message Count","Internal Note","Transcript","Tags","Ticket ID","RA Transaction IDs"
"8645060","Patron","","134.53.239.65","Chrome (108.0.0.0)","Windows","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","https://libguides.lib.miamioh.edu/pa",".Slide-out (Proactive live)","Reference","Jenny Presnell","2023-01-03 09:23:24","13","1280","Yes","0","","Are you student/faculty/staff?: Faculty","","","Hi, I'm trying to get set up with the Miami uptodate services. I can't seem to figure it out.","","39","","09:24:19 - Jenny Presnell : I am not sure what the uptodate services are - we are the libraries. If you can tell me a bit more, we can figure out who to contact
09:24:51 - Jenny Presnell : wait
09:24:56 - Jenny Presnell : it might be a new database
09:25:36 - Jenny Presnell : <b>Users must create an account, providing your @miamioh.edu email address, in order to use UpToDate. Users must also renew their account every 90 days.</b><br />
09:25:46 - Jenny Presnell : have you tried to set up an account?
09:25:55 - Patron : Megan Jaskowiak librarian had sent us an email about Uptodate. I think it was on something called Libguides
09:25:56 - Jenny Presnell : We have apparently had issues
09:26:02 - Jenny Presnell : yes
09:26:24 - Jenny Presnell : that phrase is under the uptodate database link
09:26:29 - Patron : yes, and I tried to set up an account but its not working
09:26:42 - Jenny Presnell : <a href=""https://libguides.lib.miamioh.edu/UpToDate"" target=""_blank"">UpToDate</a> <i></i>This link opens in a new window<i></i>This opens a pop-up window to share the URL for this databaseAlternate Name(s): Up to Date<p><b>Users must create an account, providing your @miamioh.edu email address, in order to use UpToDate. Users must also renew their account every 90 days.</b></p><br /><p>A leading evidence-based clinical decision support resource. Physician authors and editors, recognized as leaders in their fields, present the evidence with insight and nuance and produce clear, actionable recommendations that help answer your clinical questions at the points of care.</p>
09:26:52 - Jenny Presnell : let me take a look
09:26:59 - Jenny Presnell : Megan isn't here this morning
09:27:19 - Jenny Presnell : are you on or off campus?
09:27:26 - Jenny Presnell : which may or may not make a difference
09:28:06 - Patron : im on campus
09:28:48 - Jenny Presnell : and you got to here?
09:28:48 - Jenny Presnell : <a href=""https://store.uptodate.com/ccrz__CCSiteLogin?viewState=viewAccount&amp;isCSRFlow=&amp;grid=&amp;portalUser=&amp;store=&amp;cclcl=en_US&amp;cartID="" target=""_blank"">https://store.uptodate.com/ccrz__CCSiteLogin?viewState=viewAccount&amp;isCSRFlow=&amp;grid=&amp;portalUser=&amp;store=&amp;cclcl=en_US&amp;cartID=</a>
09:31:07 - Jenny Presnell : Do you have proof of student/faculty status to upload? Did Megan say anything about that
09:31:09 - Patron : yeah i did all of that, but then it just took me to a point where I had to decide what length of subscription I wanted and a cost
09:31:33 - Jenny Presnell : """"
09:31:36 - Jenny Presnell : <strong>Note :</strong> Choose file and click the Upload button to upload your trainee proof . Please click submit after Uploading the document
09:31:40 - Patron : I didn't see anywhere that it asked me for proof of status
09:31:59 - Jenny Presnell : click on that link
09:32:44 - Jenny Presnell : I filled out a form
09:32:47 - Jenny Presnell : but I don
09:33:00 - Jenny Presnell : don't know what document would be for proof of status
09:33:07 - Jenny Presnell : let me do some looking
09:33:13 - Jenny Presnell : don't go away
09:35:00 - Patron : Yeah I tried to do that all again, but I never found a link to submit a form
09:35:48 - Jenny Presnell : [Screensharing invitation sent.]
09:36:03 - Jenny Presnell : is it ok to share a screen with you?
09:37:51 - Patron : yes
09:42:45 - Jenny Presnell : <a href=""https://libguides.lib.miamioh.edu/prf.php?account_id=304794"">Megan Jaskowiak</a><ul><li><strong>Health and Social Sciences Librarian</strong></li><li><strong>Office</strong>: 216A King Library</li><li><strong>Phone</strong>: <a href=""tel:+15135291633"">(513) 529-1633</a></li><li><strong>Email</strong>: <a href=""mailto:%6A%61%73%6B%6F%77%6D%61@%6D%69%61%6D%69%6F%68.%65%64%75"">Contact Me</a></li></ul>
09:42:59 - Jenny Presnell : jaskowma@miamioh.edu
09:45:12 - Jenny Presnell : email Megan
09:45:19 - Jenny Presnell : anything else I can help with?
09:45:26 - Patron : nope, thank you
09:45:39 - Jenny Presnell : good luck -- and sorry this is so complicated
","","0",""
"8645232","Patron","","70.172.20.75","Chrome (108.0.0.0)","Windows","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","https://www.lib.miamioh.edu/",".Slide-out (Proactive live)","Reference","Jenny Presnell","2023-01-03 10:03:50","10","1727","None","0","","Are you student/faculty/staff?: yes","","","I need help starting a research piece on over-the counter (OTC) hearing aids.  This would include the federal legislation,  which drugstores (CVS or Walgreens) .  Could you help me locate basic and theoretical publications?  
I'll try in your collections - American Academy of Audiology, American Speech and Hearing Association and the American Auditory Society.
I appreciate your reply !","","33","","10:04:08 - Jenny Presnell : hi
10:04:11 - Patron : Oh hi Jenny!
10:04:21 - Jenny Presnell : be right there
10:05:14 - Patron : I've been given this job to write a book chapter on OTCs.  I don't know much about the topic except that we audiologists charge alot more than the prices will be at the drugstore.
10:06:35 - Jenny Presnell : <a href=""https://proxy.lib.miamioh.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&amp;db=a9h&amp;db=aph&amp;db=awn&amp;db=gnh&amp;db=agr&amp;db=awh&amp;db=apn&amp;db=alr&amp;db=ahl&amp;db=h9j&amp;db=h9h&amp;db=h9i&amp;db=h9k&amp;db=h9m&amp;db=sbh&amp;db=asf&amp;db=vth&amp;db=aft&amp;db=air&amp;db=oih&amp;db=reh&amp;db=a6h&amp;db=nlabk&amp;db=bvh&amp;db=bas&amp;db=fph&amp;db=brb&amp;db=bai&amp;db=bft&amp;db=bth&amp;db=buh&amp;db=b7h&amp;db=e5h&amp;db=ccx&amp;db=rzh&amp;db=ufh&amp;db=cph&amp;db=iih&amp;db=c9h&amp;db=i3h&amp;db=nlebk&amp;db=ecn&amp;db=eft&amp;db=ehh&amp;db=eoah&amp;db=enr&amp;db=ent&amp;db=eih&amp;db=eric&amp;db=egi&amp;db=hev&amp;db=f3h&amp;db=fsr&amp;db=zbh&amp;db=funk&amp;db=puh&amp;db=fmh&amp;db=geh&amp;db=guh&amp;db=8gh&amp;db=hpi&amp;db=hxh&amp;db=hch&amp;db=hia&amp;db=cfh&amp;db=h4h&amp;db=22h&amp;db=hsr&amp;db=hma&amp;db=hft&amp;db=hlh&amp;db=jph&amp;db=ibh&amp;db=ijh&amp;db=tsh&amp;db=jss&amp;db=lgh&amp;db=qth&amp;db=lih&amp;db=lfh&amp;db=lkh&amp;db=ulh&amp;db=f5h&amp;db=msn&amp;db=lth&amp;db=cmedm&amp;db=pwh&amp;db=e872sww&amp;db=mnh&amp;db=mmt&amp;db=fxh&amp;db=mih&amp;db=kah&amp;db=mzh&amp;db=mah&amp;db=ncj&amp;db=nch&amp;db=fjh&amp;db=nfh&amp;db=nsm&amp;db=ddu&amp;db=24h&amp;db=phl&amp;db=pix&amp;db=poh&amp;db=prh&amp;db=tfh&amp;db=pbh&amp;db=psyh&amp;db=pst&amp;db=p4h&amp;db=25h&amp;db=rgr&amp;db=bwh&amp;db=rps&amp;db=rlh&amp;db=rkh&amp;db=sch&amp;db=shx&amp;db=29h&amp;db=ssx&amp;db=b9h&amp;db=swh&amp;db=sih&amp;db=slh&amp;db=s3h&amp;db=tth&amp;db=frh&amp;db=voh&amp;db=vsh&amp;db=fyh&amp;db=e866sww&amp;db=e870sww&amp;db=e867sww&amp;db=e869sww&amp;db=e865sww&amp;db=e864sww&amp;db=ram&amp;bquery=over+the+counter+hearing+aids&amp;dli0=NL&amp;dlv0=Y&amp;dld0=nlabk&amp;type=1&amp;searchMode=Standard&amp;site=ehost-live&amp;scope=site"" target=""_blank"">https://proxy.lib.miamioh.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&amp;db=a9h&amp;db=aph&amp;db=awn&amp;db=gnh&amp;db=agr&amp;db=awh&amp;db=apn&amp;db=alr&amp;db=ahl&amp;db=h9j&amp;db=h9h&amp;db=h9i&amp;db=h9k&amp;db=h9m&amp;db=sbh&amp;db=asf&amp;db=vth&amp;db=aft&amp;db=air&amp;db=oih&amp;db=reh&amp;db=a6h&amp;db=nlabk&amp;db=bvh&amp;db=bas&amp;db=fph&amp;db=brb&amp;db=bai&amp;db=bft&amp;db=bth&amp;db=buh&amp;db=b7h&amp;db=e5h&amp;db=ccx&amp;db=rzh&amp;db=ufh&amp;db=cph&amp;db=iih&amp;db=c9h&amp;db=i3h&amp;db=nlebk&amp;db=ecn&amp;db=eft&amp;db=ehh&amp;db=eoah&amp;db=enr&amp;db=ent&amp;db=eih&amp;db=eric&amp;db=egi&amp;db=hev&amp;db=f3h&amp;db=
10:06:56 - Jenny Presnell : is this what you had in mind? I need to play with the topic a bit more
10:07:52 - Patron : Yes!  Thanks!  I will be scrolling between this screen and the Result List
10:10:39 - Jenny Presnell : this is legislation
10:10:40 - Jenny Presnell : <a href=""https://www.govinfo.gov/app/search/%7B%22query%22%3A%22%5C%22over%20the%20counter%20hearing%20aids%5C%22%22%2C%22offset%22%3A0%7D"" target=""_blank"">https://www.govinfo.gov/app/search/%7B%22query%22%3A%22%5C%22over%20the%20counter%20hearing%20aids%5C%22%22%2C%22offset%22%3A0%7D</a>
10:10:48 - Jenny Presnell : will that link work for you?
10:11:59 - Patron : Yes,
10:12:25 - Jenny Presnell : there are too many results here -- but the first page or so might be useful
10:12:37 - Patron : Will I be able to keep these links while I check out the articles?
10:12:45 - Jenny Presnell : <a href=""https://proxy.lib.miamioh.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&amp;db=a9h&amp;db=aph&amp;db=awn&amp;db=gnh&amp;db=agr&amp;db=awh&amp;db=apn&amp;db=alr&amp;db=ahl&amp;db=h9j&amp;db=h9h&amp;db=h9i&amp;db=h9k&amp;db=h9m&amp;db=sbh&amp;db=asf&amp;db=vth&amp;db=aft&amp;db=air&amp;db=oih&amp;db=reh&amp;db=a6h&amp;db=nlabk&amp;db=bvh&amp;db=bas&amp;db=fph&amp;db=brb&amp;db=bai&amp;db=bft&amp;db=bth&amp;db=buh&amp;db=b7h&amp;db=e5h&amp;db=ccx&amp;db=rzh&amp;db=ufh&amp;db=cph&amp;db=iih&amp;db=c9h&amp;db=i3h&amp;db=nlebk&amp;db=ecn&amp;db=eft&amp;db=ehh&amp;db=eoah&amp;db=enr&amp;db=ent&amp;db=eih&amp;db=eric&amp;db=egi&amp;db=hev&amp;db=f3h&amp;db=fsr&amp;db=zbh&amp;db=funk&amp;db=puh&amp;db=fmh&amp;db=geh&amp;db=guh&amp;db=8gh&amp;db=hpi&amp;db=hxh&amp;db=hch&amp;db=hia&amp;db=cfh&amp;db=h4h&amp;db=22h&amp;db=hsr&amp;db=hma&amp;db=hft&amp;db=hlh&amp;db=jph&amp;db=ibh&amp;db=ijh&amp;db=tsh&amp;db=jss&amp;db=lgh&amp;db=qth&amp;db=lih&amp;db=lfh&amp;db=lkh&amp;db=ulh&amp;db=f5h&amp;db=msn&amp;db=lth&amp;db=cmedm&amp;db=pwh&amp;db=e872sww&amp;db=mnh&amp;db=mmt&amp;db=fxh&amp;db=mih&amp;db=kah&amp;db=mzh&amp;db=mah&amp;db=ncj&amp;db=nch&amp;db=fjh&amp;db=nfh&amp;db=nsm&amp;db=ddu&amp;db=24h&amp;db=phl&amp;db=pix&amp;db=poh&amp;db=prh&amp;db=tfh&amp;db=pbh&amp;db=psyh&amp;db=pst&amp;db=p4h&amp;db=25h&amp;db=rgr&amp;db=bwh&amp;db=rps&amp;db=rlh&amp;db=rkh&amp;db=sch&amp;db=shx&amp;db=29h&amp;db=ssx&amp;db=b9h&amp;db=swh&amp;db=sih&amp;db=slh&amp;db=s3h&amp;db=tth&amp;db=frh&amp;db=voh&amp;db=vsh&amp;db=fyh&amp;db=e866sww&amp;db=e870sww&amp;db=e867sww&amp;db=e869sww&amp;db=e865sww&amp;db=e864sww&amp;db=ram&amp;bquery=over+the+counter+hearing+aids+AND+(+legislation+or+laws+or+regulation+or+policy+)&amp;dli0=NL&amp;dlv0=Y&amp;dld0=nlabk&amp;type=1&amp;searchMode=Standard&amp;site=ehost-live&amp;scope=site"" target=""_blank"">https://proxy.lib.miamioh.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&amp;db=a9h&amp;db=aph&amp;db=awn&amp;db=gnh&amp;db=agr&amp;db=awh&amp;db=apn&amp;db=alr&amp;db=ahl&amp;db=h9j&amp;db=h9h&amp;db=h9i&amp;db=h9k&amp;db=h9m&amp;db=sbh&amp;db=asf&amp;db=vth&amp;db=aft&amp;db=air&amp;db=oih&amp;db=reh&amp;db=a6h&amp;db=nlabk&amp;db=bvh&amp;db=bas&amp;db=fph&amp;db=brb&amp;db=bai&amp;db=bft&amp;db=bth&amp;db=buh&amp;db=b7h&amp;db=e5h&amp;db=ccx&amp;db=rzh&amp;db=ufh&amp;db=cph&amp;db=iih&amp;db=c9h&amp;db=i3h&amp;db=nlebk&amp;db=ecn&amp;db=eft&amp;db=ehh&amp;db=eoah&amp;db=enr&amp;db=ent&amp;db=eih&
10:12:50 - Jenny Presnell : yes
10:15:21 - Patron : Should I bookmark the links?
10:16:56 - Patron : to keep them.  Or i could save these messages?
10:16:57 - Jenny Presnell : these are links to database searchings. The second one above comes from Govinfo which is the US Government database
10:17:10 - Jenny Presnell : the other two are from EBSCO Databases
10:17:15 - Jenny Presnell : all the links should work
10:17:20 - Patron : I'll need to sift through them
10:17:33 - Jenny Presnell : I'd paste them in an email to yourself just to be safe
10:17:53 - Jenny Presnell : you will get a transcript of the chat, but I don't know if the links are clickable
10:18:23 - Jenny Presnell : or bookmark them
10:18:27 - Jenny Presnell : but
10:18:53 - Jenny Presnell : I think I'd like to have the full url somewhere in case the bookmark fails
10:22:09 - Jenny Presnell : this is an article about retailing and hearing aids
10:22:11 - Jenny Presnell : <a href=""https://proxy.lib.miamioh.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&amp;db=bth&amp;AN=160417311&amp;site=ehost-live&amp;scope=site"" target=""_blank"">https://proxy.lib.miamioh.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&amp;db=bth&amp;AN=160417311&amp;site=ehost-live&amp;scope=site</a>
10:28:02 - Patron : Ill email me this conversation AND bookmark the links.
10:28:14 - Jenny Presnell : yes
10:28:45 - Jenny Presnell : and feel free to come back -- that is I think once you digest this you might need additional information, so let us know.
10:29:17 - Jenny Presnell : or I can look now if that helps -- but we need to be a bit more specific
10:32:55 - Patron : okay and thanks!
","","0",""
"8645529","Patron","","134.53.236.41","Chrome (98.0.4758.102)","Macintosh","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36","https://www.lib.miamioh.edu/",".Slide-out (Proactive live)","Reference","Jenny Presnell","2023-01-03 10:47:37","6","816","None","4","","Are you student/faculty/staff?: Faculty","","","I am a faculty and trying to open this journal article: https://journals.aps.org/pra/abstract/10.1103/PhysRevA.106.063718. In the past I had no trouble opening this journal's papers but now it is asking me for an authorization request. Can you help me with what is going on here? Thanks!","","20","","10:48:14 - Jenny Presnell : I think you need to go through the library website -- but let me check - be right back
10:48:31 - Patron : Ok, thanks!
10:48:44 - Patron : I am waiting for your reply.
10:48:54 - Jenny Presnell : I get not found
10:48:55 - Jenny Presnell : Not Found
10:49:06 - Jenny Presnell : so can you send me the name of the journal?
10:49:07 - Jenny Presnell : I
10:49:17 - Jenny Presnell : I'll check that way
10:49:25 - Patron : Journal name: Physical Review A
10:49:57 - Patron : article name: Antibunched two-mode two-photon bundles via atomic coherence
10:50:32 - Patron : But this is happening for all Physical Review articles
10:51:15 - Jenny Presnell : yes
10:51:20 - Jenny Presnell : there is something wrong I think
10:51:31 - Jenny Presnell : we have access through OhioLINK<br /><br />
10:51:38 - Jenny Presnell : hold on and I need to find out what is up
10:57:37 - Jenny Presnell : the general consensus is that something is wrong with the subscription. I'll need to turn this in and someone will need to contact the journal. Can you leave me with your email and I'll get back once it is fixed?
10:57:44 - Jenny Presnell : my email just in case
10:57:50 - Jenny Presnell : presnejl@miamioh.edu
10:59:56 - Patron : Thanks! My email is: mirzaim@miamioh.edu Will look forward to response from you (or the team).
11:01:50 - Jenny Presnell : hopefully soon. sometimes at the beginning of the year subscriptions get messed up even though we have paid for them. Will let you know
","","0",""
"8646641","Patron","","134.53.88.9","Chrome (108.0.0.0)","Macintosh","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","https://eds.p.ebscohost.com/eds/ImportWidget/ImportWidgetContent?wdgtId=481614&amp;vid=0&amp;sid=d7dde621-25a3-4222-9267-208aa1ebcad2@redis","EBSCO Chat","Reference","Jaclyn Spraetz","2023-01-03 12:52:57","6","219","None","4","","","","","The Bilingual Education Act: Language Minority Students and Equal Educational Opportunity","","9","","12:53:14 - Patron : hi
12:53:33 - Jaclyn Spraetz : Hello! I will take a look and see what I can find for you
12:53:36 - Patron : i am trying to find this article
12:54:39 - Patron : Hi Jaclyn, this is Jing from EDL. I loved the presentation you did for our class.
12:54:49 - Patron : It was very helpful
12:55:38 - Jaclyn Spraetz : Hi Jing! Thank you! That is very nice to hear. :) We don't have access to the volume of the journal this article is in but you can request it through our interlibrary loan service. Here is the link: <a href=""https://ill.lib.miamioh.edu/illiad/logon.html"" target=""_blank"">https://ill.lib.miamioh.edu/illiad/logon.html</a>
12:55:47 - Jaclyn Spraetz : Let me know if I can answer any questions you have about it! 
12:56:46 - Patron : will do. Thank you!
12:56:53 - Jaclyn Spraetz : You're welcome! 
","","0",""
"8647668","Patron","","65.189.31.78","Chrome (108.0.0.0)","Macintosh","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","https://www.lib.miamioh.edu/research/research-support/ask/","Ask Us page chat","Reference","Jaclyn Spraetz","2023-01-03 14:43:36","5","238","None","0","","","","","I would like to get the book Functional Programming Made Easier - A Step-by-Step Guide by Charles Scalfani.  I think that our library does not have it.  I have forgotten how to request it from the Interlibrary loan. Can you help?","","10","","14:43:57 - Jaclyn Spraetz : Hi Jim, I am happy to help with this
14:43:58 - Patron : 2:43:37 PM
I would like to get the book Functional Programming Made Easier - A Step-by-Step Guide by Charles Scalfani. I think that our library does not have it. I have forgotten how to request it from the Interlibrary loan. Can you help?
14:44:13 - Jaclyn Spraetz : Are you affiliated with Miami?
14:44:48 - Patron : Yes, my id is kiperjd.  I retired last July, but am teaching again this spring semester.
14:45:03 - Jaclyn Spraetz : Thank you! I will take a look at this and get right back to you
14:45:14 - Patron : Thank you.
14:46:35 - Jaclyn Spraetz : I was double-checking to see if we have it through OhioLINK but I don't see it there. Here is a link to request that book via interlibrary loan: <a href=""https://ill.lib.miamioh.edu/illiad/logon.html"" target=""_blank"">https://ill.lib.miamioh.edu/illiad/logon.html</a>
14:47:19 - Jaclyn Spraetz : Let me know if I can answer any other questions you have about it
14:47:40 - Patron : OK, thank you.  I will investigate that.
14:47:55 - Jaclyn Spraetz : You're welcome. Have a great afternoon! 
","","0",""
"8648975","Patron","","174.102.121.95","Chrome (105.0.0.0)","Windows","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36","https://www.lib.miamioh.edu/research/research-support/ask/","Ask Us page chat","Reference","Abigail Morgan","2023-01-03 17:27:12","12","1763","None","0","","","","","Can you respond?","","37","","17:27:30 - Abigail Morgan : Hi, what can I help you with?
17:28:11 - Patron : I just wanted to know if I could get this module done now
17:28:30 - Abigail Morgan : I'm not sure what module you are referring to
17:29:34 - Patron : I'm at the beginning with the (Ask a Librarian) part.
17:29:46 - Patron : all
17:29:48 - Abigail Morgan : What class is this for?
17:30:23 - Abigail Morgan : But you can ask me whatever questions you need to get the module completed. I will do my best to help
17:30:35 - Patron : I didn't think of that.
17:31:54 - Patron : Hold on
17:36:45 - Patron : Sorry for the delay. I'm not familiar enough with the classes at this point. But I would like to take classes in Creative Arts and Game Designing at some point in the future. Though, I'm not sure how qualified I am for the later.
17:39:12 - Patron : My brother told me we were already going to be in a class about improving our english skills as a basic requirement. Or at least, that's what I remember.
17:39:41 - Patron : I could have some information wrong, though.
17:41:00 - Abigail Morgan : It sounds like you need to speak to an academic advisor
17:41:20 - Abigail Morgan : Are you a current student? 
17:42:34 - Patron : No. I am just starting college this coming spring.
17:43:56 - Abigail Morgan : OK. I'm just a librarian, so I can't really speak to scheduling classes, etc. But there should be someone you can speak to at the admissions office, or the student success center: <a href=""https://www.miamioh.edu/emss/offices/student-success-center/index.html"" target=""_blank"">https://www.miamioh.edu/emss/offices/student-success-center/index.html</a>
17:44:08 - Abigail Morgan : they will have a lot more insight and help
17:46:02 - Patron : Thanks! But I did this chat to complete a module. And I may need to hold off on the rest, in a while. Will this conversation be saved for a later date?
17:46:41 - Patron : My brother should come by to help me though this, at some point today.
17:46:56 - Abigail Morgan : I will have a transcript on the backend. If you have a Miami email address I can send it to you. 
17:47:19 - Abigail Morgan : However, the chat service here will stop at 6pm and start tomorrow morning at 9am
17:48:58 - Patron : Oh, ok. That's a nice heads-up. Thanks. I do have a Miami email address.
17:49:50 - Patron : Is it already connected, or do I have to send it on the chat?
17:50:33 - Abigail Morgan : You will need to send a new chat message. I won't be the person on chat tomorrow morning. You should tell them you are completing a module for pre-college orientation, that will help them understand what you need better
17:50:56 - Abigail Morgan : Oh, your Miami email should already be working
17:51:10 - Patron : Ok, Thanks.
17:51:27 - Abigail Morgan : but if you want me to send you this transcript, you need to tell me what your email is
17:53:21 - Patron : cherryap@MiamiOH.edu
17:53:36 - Patron : Do I need to give the password too?
17:53:38 - Abigail Morgan : OK, thanks
17:53:49 - Abigail Morgan : NO, don't give me your password
17:53:57 - Abigail Morgan : keep that confidential
17:55:08 - Patron : Alright. Thanks.
17:55:31 - Abigail Morgan : OK, I will email you this conversation. 
17:56:35 - Abigail Morgan : OK sent. 
17:56:47 - Abigail Morgan : Have a good night, and hope completing the module is easy
17:56:53 - Patron : Awesome.
","","0",""
"8650220","Patron","","173.66.118.11","Chrome (108.0.0.0)","Windows","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","https://libanswers.lib.miamioh.edu/faq/163330","LibAnswers FAQ Chat","Reference","Ginny Boehme","2023-01-04 10:01:04","8","22","None","4","","","","","Hi, as alumni, am I still be able to access miami database like Mintel?","","3","","10:01:48 - Ginny Boehme : Only if you come to campus and access from the library. Our licenses don't typically allow for use by alumni, unfortunately
10:02:06 - Patron : Okay, I see. Thanks
10:02:10 - Ginny Boehme : you're welcome
","","0",""
"8651777","Patron","","134.53.89.49","Chrome (108.0.0.0)","Windows","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","https://libguides.lib.miamioh.edu/az.php?a=o&amp;p=1",".Slide-out (Proactive live)","Reference","Stefanie Hilles","2023-01-04 13:22:31","4","178","None","0","","Are you student/faculty/staff?: TA","","","I am searching for my professor's dissertation. I am not sure of the title of it. My professor's name is Britany Aronson and she graduated in 2014","","3","","13:22:50 - Stefanie Hilles : Ok. I will see if I can find it.
13:25:46 - Stefanie Hilles : Here you go!
13:25:48 - Stefanie Hilles : <a href=""https://trace.tennessee.edu/utk_graddiss/2882/"" target=""_blank"">https://trace.tennessee.edu/utk_graddiss/2882/</a>
","","0",""
"8651812","Patron","syedamm@miamioh.edu","134.53.89.49","Chrome (108.0.0.0)","Windows","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","https://www.lib.miamioh.edu/",".Slide-out (Proactive live)","Reference","Stefanie Hilles","2023-01-04 13:26:26","5","522","None","4","","Are you student/faculty/staff?: TA","","","I was chatting with a librarian but got disconnected","","9","","13:26:35 - Stefanie Hilles : Hi!
13:26:41 - Stefanie Hilles : One second. Let me copy the link
13:26:44 - Stefanie Hilles : I did find it!!
13:26:49 - Stefanie Hilles : <a href=""https://trace.tennessee.edu/utk_graddiss/2882/"" target=""_blank"">https://trace.tennessee.edu/utk_graddiss/2882/</a>
13:27:03 - Patron : Thank you soooo much!!!!
13:27:19 - Stefanie Hilles : You're welcome!!
13:27:25 - Stefanie Hilles : Is there anything else I can help you with today?
13:35:04 - Patron : No. thank you. Sorry for the late response. was reading the dissertation.
13:35:17 - Stefanie Hilles : No worries! Happy to help :)
","","0",""
"8652436","Patron","","98.30.164.10","Chrome (108.0.0.0)","Windows","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","https://www.lib.miamioh.edu/research/research-support/ask/","Ask Us page chat","Reference","Stefanie Hilles","2023-01-04 14:33:55","4","771","None","0","","","","","Looking for a copy of a masters thesis from 1998 by Monica Gochenour Cox in the teacher education department","","8","","14:34:29 - Stefanie Hilles : Do you know the title or where they graduated from?
14:35:24 - Patron : I can't remember the title.  I am Monica and I graduated from Miami University in 1998.  My advising professor was Dr. Johnny Hill.
14:36:00 - Stefanie Hilles : Thanks! I will see what I can find
14:36:05 - Patron : Thank you.
14:46:34 - Patron : If you find it, can you email the information to me?  coxmd1@miamioh.edu
14:46:57 - Stefanie Hilles : Sure. I am not having any luck so far but I will email you if I find something
14:47:12 - Patron : Great!  Thank you.
14:47:20 - Stefanie Hilles : You're welcome!
","","0",""
